cell_id,group
aiocnemf-1,0
aiojkbbo-1,0
aionango-1,0
aipboigk-1,0
aipccjnp-1,0
aipeeppo-1,0
aipejffb-1,0
aipelgnp-1,0
aipfecik-1,0
aipikafd-1,0
aipkcmid-1,0
aiplemoo-1,0
aiplfnjl-1,0
ajacppfi-1,0
ajbchnhl-1,0
ajcmldhc-1,0
aljmnjjm-1,0
bclbhmea-1,0
bcmfkaip-1,0
bfopjnog-1,0
blbegeld-1,0
blbenmmm-1,0
blbggmnb-1,0
blbhgjka-1,0
blcejdjm-1,0
blcgklaj-1,0
blcilmpb-1,0
blcmfdlf-1,0
blcnccdh-1,0
blcnknde-1,0
bldkjfgn-1,0
bldncbnb-1,0
bldnnpef-1,0
bleacfkb-1,0
blebeddl-1,0
bleblpil-1,0
blendcbl-1,0
blfcffca-1,0
blffbdld-1,0
bljlpopa-1,0
blkfoail-1,0
bmeakmjg-1,0
bmehchaa-1,0
bmfcnpjb-1,0
bmfehngk-1,0
bmfhmgho-1,0
bmfjnpdk-1,0
bmgaaeog-1,0
bmgaeifo-1,0
bmgaogmd-1,0
bmgfoked-1,0
bmggkfgi-1,0
bmglnagn-1,0
bmgnnalh-1,0
bmgopkko-1,0
bmoflmid-1,0
bnacmkdf-1,0
bpkdmgci-1,0
bpkebhmk-1,0
bpkefffg-1,0
bplaaaca-1,0
bplbjgke-1,0
bplcplao-1,0
bpldedjk-1,0
bpldofab-1,0
bplejgpj-1,0
bplhklcl-1,0
bpliejmd-1,0
bpljkkak-1,0
bplkdldl-1,0
bplokdld-1,0
bpmampnm-1,0
bpmenode-1,0
bpnfgnca-1,0
bpngbcie-1,0
bpnibdjm-1,0
bpnkjegk-1,0
bpnlaone-1,0
bpnlllbb-1,0
bpocgmfc-1,0
bpoedngb-1,0
bpojmnac-1,0
bpokglhh-1,0
bppclagp-1,0
bppepaie-1,0
bppfiadl-1,0
bppleohl-1,0
bpplmaad-1,0
bppmohjp-1,0
caabnibj-1,0
caadcnnn-1,0
caadlloc-1,0
caaefjoh-1,0
caagmpol-1,0
cabidlod-1,0
cabjlggc-1,0
cabnamcl-1,0
cabnmdfl-1,0
cabnmipl-1,0
cabodona-1,0
cacaggjn-1,0
cacaimlg-1,0
cacdjgof-1,0
cacghomh-1,0
cacgoace-1,0
cachjkpm-1,0
caciafjn-1,0
cacldhcn-1,0
cacljolf-1,0
cacoigjm-1,0
cadgpiml-1,0
cadifoib-1,0
cadiobpc-1,0
cadjcmfn-1,0
cadjjjfi-1,0
cadjonol-1,0
cadlehlf-1,0
cadpdeop-1,0
caebfjpo-1,0
caecmjcb-1,0
caedjhno-1,0
caedmela-1,0
caegknae-1,0
caegldda-1,0
caejdmjp-1,0
caemmipo-1,0
cafbfaam-1,0
cafpompl-1,0
cagdaieg-1,0
cagdmgdc-1,0
cagfefep-1,0
cagglfgb-1,0
caggodhf-1,0
cahcglcc-1,0
cahidohm-1,0
cahnbjie-1,0
cahpddnd-1,0
caiamdnk-1,0
caibcnpk-1,0
caidbecc-1,0
caifknce-1,0
caihdged-1,0
caincffa-1,0
caioelpi-1,0
cajbamgb-1,0
cajbnekg-1,0
cajcidcl-1,0
cajdegmo-1,0
cajeoalj-1,0
cajiadcj-1,0
cajifkip-1,0
cajkkjbp-1,0
cajmnieb-1,0
cajofkjj-1,0
cajoglai-1,0
cajpkhca-1,0
cakaifkm-1,0
cakakppi-1,0
cakcdaan-1,0
cakebhkh-1,0
cakgadlg-1,0
cakgafbl-1,0
cakhfpon-1,0
cakiiekj-1,0
cakkkanj-1,0
calepkkb-1,0
calgbhip-1,0
calghlci-1,0
calnphgb-1,0
camagigg-1,0
camamheh-1,0
camcbfem-1,0
camcefmm-1,0
caologec-1,0
caomjibd-1,0
caonhlch-1,0
cbkgfojc-1,0
cbkggpkg-1,0
cbkicmge-1,0
cbkihhje-1,0
cbkihjdi-1,0
cbkjagbi-1,0
cbknbkki-1,0
cbkndhih-1,0
cbkogjdf-1,0
cblfknjh-1,0
cblgohim-1,0
cblgpifa-1,0
cblkllkp-1,0
cblmmcjb-1,0
cbmlmmjl-1,0
cbmmognf-1,0
ccbfcnkm-1,0
ccboifgc-1,0
ccbonadg-1,0
ccckbbli-1,0
ccindolp-1,0
cgddlfji-1,0
cgdfokgn-1,0
cgdjjmpf-1,0
cgdkigjo-1,0
cgdkikcc-1,0
cgecdanh-1,0
cgeemgib-1,0
cgefdaej-1,0
cgefkiap-1,0
cgelhlab-1,0
cgepipnf-1,0
cggcpjak-1,0
cghckich-1,0
cghkbhjk-1,0
cghlgkcd-1,0
cghmmepg-1,0
cgigodpn-1,0
cgiibnob-1,0
cgijebeb-1,0
cgilfcgb-1,0
cgjccnie-1,0
cgjebcnb-1,0
cgjfelpd-1,0
cgjihgbi-1,0
cgjlgdag-1,0
cgjlipbi-1,0
cgjmejpk-1,0
cgjnejlk-1,0
cgkghjkd-1,0
cgkhcfbf-1,0
cgldpgam-1,0
cglicnbp-1,0
cglmlfcd-1,0
cglnfkmo-1,0
cglnlccc-1,0
cglpcmfc-1,0
cgmaefaf-1,0
cgmbdlge-1,0
cgmfhmhj-1,0
cgmjgngd-1,0
cgmncebm-1,0
cgmndncc-1,0
cgmpmnjn-1,0
cgnblcdj-1,0
cgncdona-1,0
cgnefnpp-1,0
cgnfafpe-1,0
cgnlgmcj-1,0
cgnminna-1,0
cgnphjkl-1,0
cgnpmbap-1,0
cgoccmlm-1,0
cgochkam-1,0
cgondlhl-1,0
cgoohipb-1,0
cgoonhpl-1,0
cgpahpgo-1,0
cgpapfjf-1,0
cgpdjgmn-1,0
cgpecihc-1,0
cgpfdeii-1,0
cgpfebbl-1,0
cgpkeemd-1,0
cgpofbpb-1,0
chbklodo-1,0
chbkmoki-1,0
chbmmfeg-1,0
chcbaooj-1,0
chcccdgn-1,0
chccoagp-1,0
chcgjonm-1,0
chcialim-1,0
chcimkki-1,0
chclbiaj-1,0
chcmhnla-1,0
chcmmmgj-1,0
