cell_id,group
aiocnemf-1,translumenal cells III (posterior-lower)
aiojkbbo-1,translumenal cells III (posterior-lower)
aionango-1,translumenal cells III (posterior-lower)
aipboigk-1,translumenal cells III (posterior-lower)
aipccjnp-1,translumenal cells III (posterior-lower)
aipeeppo-1,translumenal cells III (posterior-lower)
aipejffb-1,translumenal cells III (posterior-lower)
aipelgnp-1,translumenal cells III (posterior-lower)
aipfecik-1,translumenal cells III (posterior-lower)
aipikafd-1,translumenal cells III (posterior-lower)
aipkcmid-1,translumenal cells III (posterior-lower)
aiplemoo-1,translumenal cells III (posterior-lower)
aiplfnjl-1,translumenal cells III (posterior-lower)
ajacppfi-1,translumenal cells III (posterior-lower)
ajbchnhl-1,translumenal cells III (posterior-lower)
ajcmldhc-1,translumenal cells III (posterior-lower)
aljmnjjm-1,translumenal cells III (posterior-lower)
bclbhmea-1,translumenal cells III (posterior-lower)
bcmfkaip-1,translumenal cells III (posterior-lower)
bfopjnog-1,translumenal cells III (posterior-lower)
blbegeld-1,translumenal cells III (posterior-lower)
blbenmmm-1,translumenal cells III (posterior-lower)
blbggmnb-1,translumenal cells III (posterior-lower)
blbhgjka-1,translumenal cells III (posterior-lower)
blcejdjm-1,translumenal cells III (posterior-lower)
blcgklaj-1,translumenal cells III (posterior-lower)
blcilmpb-1,translumenal cells III (posterior-lower)
blcmfdlf-1,translumenal cells III (posterior-lower)
blcnccdh-1,translumenal cells III (posterior-lower)
blcnknde-1,translumenal cells III (posterior-lower)
bldkjfgn-1,translumenal cells III (posterior-lower)
bldncbnb-1,translumenal cells III (posterior-lower)
bldnnpef-1,translumenal cells III (posterior-lower)
bleacfkb-1,translumenal cells III (posterior-lower)
blebeddl-1,translumenal cells III (posterior-lower)
bleblpil-1,translumenal cells III (posterior-lower)
blendcbl-1,translumenal cells III (posterior-lower)
blfcffca-1,translumenal cells III (posterior-lower)
blffbdld-1,translumenal cells III (posterior-lower)
bljlpopa-1,translumenal cells III (posterior-lower)
blkfoail-1,translumenal cells III (posterior-lower)
bmeakmjg-1,translumenal cells III (posterior-lower)
bmehchaa-1,translumenal cells III (posterior-lower)
bmfcnpjb-1,translumenal cells III (posterior-lower)
bmfehngk-1,translumenal cells III (posterior-lower)
bmfhmgho-1,translumenal cells III (posterior-lower)
bmfjnpdk-1,translumenal cells III (posterior-lower)
bmgaaeog-1,translumenal cells III (posterior-lower)
bmgaeifo-1,translumenal cells III (posterior-lower)
bmgaogmd-1,translumenal cells III (posterior-lower)
bmgfoked-1,translumenal cells III (posterior-lower)
bmggkfgi-1,translumenal cells III (posterior-lower)
bmglnagn-1,translumenal cells III (posterior-lower)
bmgnnalh-1,translumenal cells III (posterior-lower)
bmgopkko-1,translumenal cells III (posterior-lower)
bmoflmid-1,translumenal cells III (posterior-lower)
bnacmkdf-1,translumenal cells III (posterior-lower)
bpkdmgci-1,translumenal cells III (posterior-lower)
bpkebhmk-1,translumenal cells III (posterior-lower)
bpkefffg-1,translumenal cells III (posterior-lower)
bplaaaca-1,translumenal cells III (posterior-lower)
bplbjgke-1,translumenal cells III (posterior-lower)
bplcplao-1,translumenal cells III (posterior-lower)
bpldedjk-1,translumenal cells III (posterior-lower)
bpldofab-1,translumenal cells III (posterior-lower)
bplejgpj-1,translumenal cells III (posterior-lower)
bplhklcl-1,translumenal cells III (posterior-lower)
bpliejmd-1,translumenal cells III (posterior-lower)
bpljkkak-1,translumenal cells III (posterior-lower)
bplkdldl-1,translumenal cells III (posterior-lower)
bplokdld-1,translumenal cells III (posterior-lower)
bpmampnm-1,translumenal cells III (posterior-lower)
bpmenode-1,translumenal cells III (posterior-lower)
bpnfgnca-1,translumenal cells III (posterior-lower)
bpngbcie-1,translumenal cells III (posterior-lower)
bpnibdjm-1,translumenal cells III (posterior-lower)
bpnkjegk-1,translumenal cells III (posterior-lower)
bpnlaone-1,translumenal cells III (posterior-lower)
bpnlllbb-1,translumenal cells III (posterior-lower)
bpocgmfc-1,translumenal cells III (posterior-lower)
bpoedngb-1,translumenal cells III (posterior-lower)
bpojmnac-1,translumenal cells III (posterior-lower)
bpokglhh-1,translumenal cells III (posterior-lower)
bppclagp-1,translumenal cells III (posterior-lower)
bppepaie-1,translumenal cells III (posterior-lower)
bppfiadl-1,translumenal cells III (posterior-lower)
bppleohl-1,translumenal cells III (posterior-lower)
bpplmaad-1,translumenal cells III (posterior-lower)
bppmohjp-1,translumenal cells III (posterior-lower)
caabnibj-1,translumenal cells III (posterior-lower)
caadcnnn-1,translumenal cells III (posterior-lower)
caadlloc-1,translumenal cells III (posterior-lower)
caaefjoh-1,translumenal cells III (posterior-lower)
caagmpol-1,translumenal cells III (posterior-lower)
cabidlod-1,translumenal cells III (posterior-lower)
cabjlggc-1,translumenal cells III (posterior-lower)
cabnamcl-1,translumenal cells III (posterior-lower)
cabnmdfl-1,translumenal cells III (posterior-lower)
cabnmipl-1,translumenal cells III (posterior-lower)
cabodona-1,translumenal cells III (posterior-lower)
cacaggjn-1,translumenal cells III (posterior-lower)
cacaimlg-1,translumenal cells III (posterior-lower)
cacdjgof-1,translumenal cells III (posterior-lower)
cacghomh-1,translumenal cells III (posterior-lower)
cacgoace-1,translumenal cells III (posterior-lower)
cachjkpm-1,translumenal cells III (posterior-lower)
caciafjn-1,translumenal cells III (posterior-lower)
cacldhcn-1,translumenal cells III (posterior-lower)
cacljolf-1,translumenal cells III (posterior-lower)
cacoigjm-1,translumenal cells III (posterior-lower)
cadgpiml-1,translumenal cells III (posterior-lower)
cadifoib-1,translumenal cells III (posterior-lower)
cadiobpc-1,translumenal cells III (posterior-lower)
cadjcmfn-1,translumenal cells III (posterior-lower)
cadjjjfi-1,translumenal cells III (posterior-lower)
cadjonol-1,translumenal cells III (posterior-lower)
cadlehlf-1,translumenal cells III (posterior-lower)
cadpdeop-1,translumenal cells III (posterior-lower)
caebfjpo-1,translumenal cells III (posterior-lower)
caecmjcb-1,translumenal cells III (posterior-lower)
caedjhno-1,translumenal cells III (posterior-lower)
caedmela-1,translumenal cells III (posterior-lower)
caegknae-1,translumenal cells III (posterior-lower)
caegldda-1,translumenal cells III (posterior-lower)
caejdmjp-1,translumenal cells III (posterior-lower)
caemmipo-1,translumenal cells III (posterior-lower)
cafbfaam-1,translumenal cells III (posterior-lower)
cafpompl-1,translumenal cells III (posterior-lower)
cagdaieg-1,translumenal cells III (posterior-lower)
cagdmgdc-1,translumenal cells III (posterior-lower)
cagfefep-1,translumenal cells III (posterior-lower)
cagglfgb-1,translumenal cells III (posterior-lower)
caggodhf-1,translumenal cells III (posterior-lower)
cahcglcc-1,translumenal cells III (posterior-lower)
cahidohm-1,translumenal cells III (posterior-lower)
cahnbjie-1,translumenal cells III (posterior-lower)
cahpddnd-1,translumenal cells III (posterior-lower)
caiamdnk-1,translumenal cells III (posterior-lower)
caibcnpk-1,translumenal cells III (posterior-lower)
caidbecc-1,translumenal cells III (posterior-lower)
caifknce-1,translumenal cells III (posterior-lower)
caihdged-1,translumenal cells III (posterior-lower)
caincffa-1,translumenal cells III (posterior-lower)
caioelpi-1,translumenal cells III (posterior-lower)
cajbamgb-1,translumenal cells III (posterior-lower)
cajbnekg-1,translumenal cells III (posterior-lower)
