cell_id,group,color
epedepbk-1,anterior forebrain,#CF8EB1
eojkljmb-1,anterior forebrain,#CF8EB1
epejmeoe-1,anterior forebrain,#CF8EB1
epeenool-1,anterior forebrain,#CF8EB1
epejakmk-1,anterior forebrain,#CF8EB1
epeinpfn-1,anterior forebrain,#CF8EB1
eojifgpf-1,anterior forebrain,#CF8EB1
epgpdfnp-1,anterior forebrain,#CF8EB1
epgpbone-1,anterior forebrain,#CF8EB1
fgkicopn-1,anterior forebrain,#CF8EB1
fgjeoege-1,anterior forebrain,#CF8EB1
fgjekbhm-1,anterior forebrain,#CF8EB1
fgmdglmp-1,anterior forebrain,#CF8EB1
fgjcpmjj-1,anterior forebrain,#CF8EB1
fgjefjon-1,anterior forebrain,#CF8EB1
fgjffkma-1,anterior forebrain,#CF8EB1
fglpjigl-1,anterior forebrain,#CF8EB1
fglopbli-1,anterior forebrain,#CF8EB1
fglnegih-1,anterior forebrain,#CF8EB1
fglpealf-1,anterior forebrain,#CF8EB1
fgmlpbka-1,anterior forebrain,#CF8EB1
fgmhmeec-1,anterior forebrain,#CF8EB1
fgkjkbfj-1,anterior forebrain,#CF8EB1
fgknaajn-1,anterior forebrain,#CF8EB1
fgnabpin-1,anterior forebrain,#CF8EB1
fgmnggco-1,anterior forebrain,#CF8EB1
fglllfbd-1,anterior forebrain,#CF8EB1
fgngamla-1,anterior forebrain,#CF8EB1
fgndniio-1,anterior forebrain,#CF8EB1
fgkkdnda-1,anterior forebrain,#CF8EB1
fgmmlnba-1,anterior forebrain,#CF8EB1
fgmdijpg-1,anterior forebrain,#CF8EB1
fgndehpp-1,anterior forebrain,#CF8EB1
fgkhejif-1,anterior forebrain,#CF8EB1
fgkfkapm-1,anterior forebrain,#CF8EB1
fgkdiejn-1,anterior forebrain,#CF8EB1
fgngkmcn-1,anterior forebrain,#CF8EB1
fgndekao-1,anterior forebrain,#CF8EB1
fgkbfaca-1,anterior forebrain,#CF8EB1
fgmldkkd-1,anterior forebrain,#CF8EB1
fgkcpknl-1,anterior forebrain,#CF8EB1
fgfifoij-1,anterior forebrain,#CF8EB1
fgkchbpi-1,anterior forebrain,#CF8EB1
fgjndeck-1,anterior forebrain,#CF8EB1
djkalpoo-1,anterior forebrain,#CF8EB1
djkgbfje-1,anterior forebrain,#CF8EB1
djajonfm-1,anterior forebrain,#CF8EB1
djkbbjom-1,anterior forebrain,#CF8EB1
djjbdjdi-1,anterior forebrain,#CF8EB1
djkfepoe-1,anterior forebrain,#CF8EB1
djkifppk-1,anterior forebrain,#CF8EB1
djafkakd-1,anterior forebrain,#CF8EB1
djjjnebl-1,anterior forebrain,#CF8EB1
djjknocp-1,anterior forebrain,#CF8EB1
djjbbjdk-1,anterior forebrain,#CF8EB1
djjlelpp-1,anterior forebrain,#CF8EB1
djjhmhbg-1,anterior forebrain,#CF8EB1
djjiplef-1,anterior forebrain,#CF8EB1
djkhocbo-1,anterior forebrain,#CF8EB1
djkiloif-1,anterior forebrain,#CF8EB1
djjnobjb-1,anterior forebrain,#CF8EB1
djkdnhia-1,anterior forebrain,#CF8EB1
djkceebg-1,anterior forebrain,#CF8EB1
djkbkeah-1,anterior forebrain,#CF8EB1
djlaaefi-1,anterior forebrain,#CF8EB1
dkbffgbn-1,anterior forebrain,#CF8EB1
dkbgnpaf-1,anterior forebrain,#CF8EB1
dkbblfgm-1,anterior forebrain,#CF8EB1
dkbfmbgb-1,anterior forebrain,#CF8EB1
dkbcobeg-1,anterior forebrain,#CF8EB1
djjbednb-1,anterior forebrain,#CF8EB1
dkbadmfl-1,anterior forebrain,#CF8EB1
dkamdnnm-1,anterior forebrain,#CF8EB1
djaiggoo-1,anterior forebrain,#CF8EB1
dkaflijg-1,anterior forebrain,#CF8EB1
djedbgcn-1,anterior forebrain,#CF8EB1
djedgbhd-1,anterior forebrain,#CF8EB1
djphjhio-1,anterior forebrain,#CF8EB1
dkbhbckm-1,anterior forebrain,#CF8EB1
dkacfeha-1,anterior forebrain,#CF8EB1
dkbdnahc-1,anterior forebrain,#CF8EB1
djpoabbh-1,anterior forebrain,#CF8EB1
dkafhdpa-1,anterior forebrain,#CF8EB1
djlflpgl-1,anterior forebrain,#CF8EB1
dkaapkok-1,anterior forebrain,#CF8EB1
djponemg-1,anterior forebrain,#CF8EB1
dkagkfod-1,anterior forebrain,#CF8EB1
djabjnpn-1,anterior forebrain,#CF8EB1
djpomgmm-1,anterior forebrain,#CF8EB1
djagepdn-1,anterior forebrain,#CF8EB1
djpojchj-1,anterior forebrain,#CF8EB1
djdlncob-1,anterior forebrain,#CF8EB1
djdmpihi-1,anterior forebrain,#CF8EB1
djdmmico-1,anterior forebrain,#CF8EB1
djpeddhe-1,anterior forebrain,#CF8EB1
djpmnpjm-1,anterior forebrain,#CF8EB1
djpejini-1,anterior forebrain,#CF8EB1
djlbodel-1,anterior forebrain,#CF8EB1
djpfflpb-1,anterior forebrain,#CF8EB1
djpndpmb-1,anterior forebrain,#CF8EB1
djmlfdkk-1,anterior forebrain,#CF8EB1
djleflll-1,anterior forebrain,#CF8EB1
djlfeofd-1,anterior forebrain,#CF8EB1
djbageko-1,anterior forebrain,#CF8EB1
djapfjeh-1,anterior forebrain,#CF8EB1
djleeilo-1,anterior forebrain,#CF8EB1
djdieagm-1,anterior forebrain,#CF8EB1
djdbjdjm-1,anterior forebrain,#CF8EB1
djdjefmj-1,anterior forebrain,#CF8EB1
djdhlpni-1,anterior forebrain,#CF8EB1
djdfjbhl-1,anterior forebrain,#CF8EB1
djddgiea-1,anterior forebrain,#CF8EB1
djdnkkcn-1,anterior forebrain,#CF8EB1
djgpbijn-1,anterior forebrain,#CF8EB1
